yearstart,yearend,locationabbr,locationdesc,datasource,topic,question,response,datavalueunit,datavaluetypeid,datavaluetype,datavalue,datavaluealt,datavaluefootnotesymbol,datavaluefootnote,lowconfidencelimit,highconfidencelimit,stratificationcategory1,stratification1,stratificationcategory2,stratification2,stratificationcategory3,stratification3,geolocation,topicid,questionid,responseid,locationid,stratificationcategoryid1,stratificationid1,stratificationcategoryid2,stratificationid2,stratificationcategoryid3,stratificationid3
2012,2012,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,104.3,104.3,,,100.4,108.2,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,BLK,,,,
2012,2012,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,38.6,38.6,,,24.8,57.5,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,AIAN,,,,
2012,2012,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,39.7,39.7,,,36,43.4,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,API,,,,
2012,2012,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,47.6,47.6,,,46.4,48.9,Gender,Female,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,GENDER,GENF,,,,
2012,2012,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,57.6,57.6,,,56.6,58.7,Overall,Overall,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,OVERALL,OVR,,,,
2012,2012,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,70.9,70.9,,,69.1,72.7,Gender,Male,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,GENDER,GENM,,,,
2012,2012,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,70.8,70.8,,,67.3,74.4,Race/Ethnicity,Hispanic,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,HIS,,,,
2013,2013,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,,Nmbr,Number,8462,8462,,,,,Race/Ethnicity,"White, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,WHT,,,,
2013,2013,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,,Nmbr,Number,2854,2854,,,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,BLK,,,,
2013,2013,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,,Nmbr,Number,47,47,,,,,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,AIAN,,,,
2013,2013,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,,Nmbr,Number,527,527,,,,,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,API,,,,
2013,2013,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,,Nmbr,Number,5873,5873,,,,,Gender,Female,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,GENDER,GENF,,,,
2013,2013,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,,Nmbr,Number,11890,11890,,,,,Overall,Overall,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,OVERALL,OVR,,,,
2013,2013,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",CrdRate,Crude Rate,74.4,74.4,,,72.8,76,Race/Ethnicity,"White, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,WHT,,,,
2013,2013,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",CrdRate,Crude Rate,96.2,96.2,,,92.6,99.7,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,BLK,,,,
2013,2013,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",CrdRate,Crude Rate,66.3,66.3,,,48.7,88.2,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,AIAN,,,,
2013,2013,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",CrdRate,Crude Rate,32.2,32.2,,,29.5,35,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,API,,,,
2013,2013,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",CrdRate,Crude Rate,70.8,70.8,,,69,72.6,Gender,Female,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,GENDER,GENF,,,,
2013,2013,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",CrdRate,Crude Rate,74.1,74.1,,,72.8,75.4,Overall,Overall,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,OVERALL,OVR,,,,
2013,2013,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",CrdRate,Crude Rate,77.6,77.6,,,75.7,79.6,Gender,Male,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,GENDER,GENM,,,,
2013,2013,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",CrdRate,Crude Rate,45.8,45.8,,,43.6,48,Race/Ethnicity,Hispanic,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,HIS,,,,
2013,2013,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,50.7,50.7,,,49.6,51.8,Race/Ethnicity,"White, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,WHT,,,,
2013,2013,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,102.4,102.4,,,98.6,106.3,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,BLK,,,,
2013,2013,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,77.6,77.6,,,56.4,104.2,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,AIAN,,,,
2013,2013,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,40.8,40.8,,,37.2,44.4,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,API,,,,
2013,2013,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,47.6,47.6,,,46.3,48.8,Gender,Female,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,GENDER,GENF,,,,
2013,2013,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,57.4,57.4,,,56.4,58.5,Overall,Overall,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,OVERALL,OVR,,,,
2013,2013,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,70.1,70.1,,,68.3,71.9,Gender,Male,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,GENDER,GENM,,,,
2013,2013,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,68.6,68.6,,,65.2,72,Race/Ethnicity,Hispanic,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,HIS,,,,
2014,2014,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,,Nmbr,Number,8057,8057,,,,,Race/Ethnicity,"White, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,WHT,,,,
2014,2014,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,,Nmbr,Number,2704,2704,,,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,BLK,,,,
2014,2014,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,,Nmbr,Number,35,35,,,,,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,AIAN,,,,
2014,2014,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,,Nmbr,Number,518,518,,,,,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,API,,,,
2014,2014,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,,Nmbr,Number,5449,5449,,,,,Gender,Female,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,GENDER,GENF,,,,
2014,2014,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,,Nmbr,Number,11314,11314,,,,,Overall,Overall,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,OVERALL,OVR,,,,
2014,2014,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,,Nmbr,Number,5865,5865,,,,,Gender,Male,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,GENDER,GENM,,,,
2014,2014,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,,Nmbr,Number,1656,1656,,,,,Race/Ethnicity,Hispanic,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,HIS,,,,
2014,2014,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",CrdRate,Crude Rate,71.3,71.3,,,69.7,72.8,Race/Ethnicity,"White, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,WHT,,,,
2014,2014,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",CrdRate,Crude Rate,90.3,90.3,,,86.9,93.7,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,BLK,,,,
2014,2014,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",CrdRate,Crude Rate,49,49,,,34.1,68.1,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,AIAN,,,,
2014,2014,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",CrdRate,Crude Rate,30.4,30.4,,,27.8,33,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,API,,,,
2013,2013,NY,New York,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,CrdPrev,Crude Prevalence,12.1,12.1,,,10.8,13.4,Gender,Female,,,,,POINT(-72.615117 40.984878),ALC,ALC2_2,,36,GENDER,GENF,,,,
2014,2014,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",CrdRate,Crude Rate,65.6,65.6,,,63.9,67.3,Gender,Female,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,GENDER,GENF,,,,
2014,2014,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",CrdRate,Crude Rate,70.4,70.4,,,69.1,71.7,Overall,Overall,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,OVERALL,OVR,,,,
2014,2014,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",CrdRate,Crude Rate,75.5,75.5,,,73.6,77.4,Gender,Male,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,GENDER,GENM,,,,
2014,2014,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",CrdRate,Crude Rate,45.1,45.1,,,42.9,47.3,Race/Ethnicity,Hispanic,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,HIS,,,,
2014,2014,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,48.1,48.1,,,47,49.1,Race/Ethnicity,"White, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,WHT,,,,
2014,2014,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,94.5,94.5,,,90.8,98.1,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,BLK,,,,
2014,2014,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,54.3,54.3,,,37.4,76.3,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,AIAN,,,,
2014,2014,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,38,38,,,34.6,41.4,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,API,,,,
2014,2014,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,44,44,,,42.8,45.2,Gender,Female,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,GENDER,GENF,,,,
2014,2014,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,53.9,53.9,,,52.9,54.9,Overall,Overall,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,OVERALL,OVR,,,,
2014,2014,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,67,67,,,65.2,68.7,Gender,Male,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,GENDER,GENM,,,,
2014,2014,NY,New York,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,66.2,66.2,,,63,69.5,Race/Ethnicity,Hispanic,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_1,,36,RACE,HIS,,,,
2013,2013,NY,New York,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,AgeAdjPrev,Age-adjusted Prevalence,12.7,12.7,,,11.4,14.1,Gender,Female,,,,,POINT(-72.615117 40.984878),ALC,ALC2_2,,36,GENDER,GENF,,,,
2013,2013,NY,New York,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,CrdPrev,Crude Prevalence,19.3,19.3,,,17.8,20.7,Race/Ethnicity,"White, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),ALC,ALC2_2,,36,RACE,WHT,,,,
2013,2013,NY,New York,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,AgeAdjPrev,Age-adjusted Prevalence,21.4,21.4,,,19.8,23.1,Race/Ethnicity,"White, non-Hispanic",,,,,POINT(-72.615117 40.984878),ALC,ALC2_2,,36,RACE,WHT,,,,
2013,2013,NY,New York,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,CrdPrev,Crude Prevalence,13.7,13.7,,,10.6,17.7,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-78.866159 42.902396),ALC,ALC2_2,,36,RACE,BLK,,,,
2013,2013,NY,New York,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,AgeAdjPrev,Age-adjusted Prevalence,13.9,13.9,,,10.7,17.9,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-72.615117 40.984878),ALC,ALC2_2,,36,RACE,BLK,,,,
2013,2013,NY,New York,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,CrdPrev,Crude Prevalence,16,16,,,13.4,19,Race/Ethnicity,Hispanic,,,,,POINT(-77.745208 43.284125),ALC,ALC2_2,,36,RACE,HIS,,,,
2013,2013,NY,New York,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,AgeAdjPrev,Age-adjusted Prevalence,14.5,14.5,,,12.2,17.2,Race/Ethnicity,Hispanic,,,,,POINT(-72.615117 40.984878),ALC,ALC2_2,,36,RACE,HIS,,,,
2013,2013,NY,New York,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,CrdPrev,Crude Prevalence,14.8,14.8,,,10.3,20.8,Race/Ethnicity,"Other, non-Hispanic",,,,,POINT(-73.559413 40.654615),ALC,ALC2_2,,36,RACE,OTH,,,,
2013,2013,NY,New York,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,AgeAdjPrev,Age-adjusted Prevalence,13.9,13.9,,,9.6,19.8,Race/Ethnicity,"Other, non-Hispanic",,,,,POINT(-72.615117 40.984878),ALC,ALC2_2,,36,RACE,OTH,,,,
2013,2013,NY,New York,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,CrdPrev,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT(-74.005941 40.712784),ALC,ALC2_2,,36,RACE,MRC,,,,
2013,2013,NY,New York,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,AgeAdjPrev,Age-adjusted Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT(-72.615117 40.984878),ALC,ALC2_2,,36,RACE,MRC,,,,
2012,2012,NY,New York,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,AgeAdjPrev,Age-adjusted Prevalence,17.5,17.5,,,16.1,18.8,Overall,Overall,,,,,POINT(-75.54397042699964 42.82700103200045),ALC,ALC2_2,,36,OVERALL,OVR,,,,
2012,2012,NY,New York,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,CrdPrev,Crude Prevalence,17,17,,,15.6,18.3,Overall,Overall,,,,,POINT(-75.54397042699964 42.82700103200045),ALC,ALC2_2,,36,OVERALL,OVR,,,,
2011,2011,NY,New York,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,,Nmbr,Number,94,94,,,,,Gender,Female,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_2,,36,GENDER,GENF,,,,
2010,2010,NY,New York,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,,Nmbr,Number,171,171,,,,,Overall,Overall,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_2,,36,OVERALL,OVR,,,,
2010,2010,NY,New York,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,,Nmbr,Number,23,23,,,,,Race/Ethnicity,Hispanic,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_2,,36,RACE,HIS,,,,
2010,2010,NY,New York,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,,Nmbr,Number,93,93,,,,,Race/Ethnicity,"White, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_2,,36,RACE,WHT,,,,
2010,2010,NY,New York,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,,Nmbr,Number,47,47,,,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_2,,36,RACE,BLK,,,,
2010,2010,NY,New York,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,,Nmbr,Number,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_2,,36,RACE,AIAN,,,,
2010,2010,NY,New York,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,,Nmbr,Number,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_2,,36,RACE,API,,,,
2010,2010,NY,New York,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,,Nmbr,Number,85,85,,,,,Gender,Male,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_2,,36,GENDER,GENM,,,,
2010,2010,NY,New York,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,,Nmbr,Number,86,86,,,,,Gender,Female,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_2,,36,GENDER,GENF,,,,
2010,2010,NY,New York,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,"cases per 100,000",CrdRate,Crude Rate,0.9,0.9,,,0.8,1,Overall,Overall,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_2,,36,OVERALL,OVR,,,,
2010,2010,NY,New York,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,"cases per 100,000",CrdRate,Crude Rate,0.7,0.7,,,0.4,1,Race/Ethnicity,Hispanic,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_2,,36,RACE,HIS,,,,
2010,2010,NY,New York,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,"cases per 100,000",CrdRate,Crude Rate,0.8,0.8,,,0.7,1,Race/Ethnicity,"White, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_2,,36,RACE,WHT,,,,
2010,2010,NY,New York,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,"cases per 100,000",CrdRate,Crude Rate,1.6,1.6,,,1.2,2.1,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_2,,36,RACE,BLK,,,,
2010,2010,NY,New York,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,"cases per 100,000",CrdRate,Crude Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_2,,36,RACE,AIAN,,,,
2010,2010,NY,New York,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,"cases per 100,000",CrdRate,Crude Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_2,,36,RACE,API,,,,
2010,2010,NY,New York,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,"cases per 100,000",CrdRate,Crude Rate,0.9,0.9,,,0.7,1.1,Gender,Male,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_2,,36,GENDER,GENM,,,,
2010,2010,NY,New York,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,"cases per 100,000",CrdRate,Crude Rate,0.9,0.9,,,0.7,1.1,Gender,Female,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_2,,36,GENDER,GENF,,,,
2010,2010,NY,New York,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,0.8,0.8,,,0.7,0.9,Overall,Overall,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_2,,36,OVERALL,OVR,,,,
2010,2010,NY,New York,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,0.8,0.8,,,0.5,1.3,Race/Ethnicity,Hispanic,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_2,,36,RACE,HIS,,,,
2010,2010,NY,New York,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,0.7,0.7,,,0.5,0.8,Race/Ethnicity,"White, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_2,,36,RACE,WHT,,,,
2010,2010,NY,New York,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,1.6,1.6,,,1.2,2.2,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_2,,36,RACE,BLK,,,,
2010,2010,NY,New York,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_2,,36,RACE,AIAN,,,,
2010,2010,NY,New York,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_2,,36,RACE,API,,,,
2010,2010,NY,New York,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,"cases per 100,000",AgeAdjRate,Age-adjusted Rate,0.9,0.9,,,0.7,1.1,Gender,Male,,,,,POINT(-75.54397042699964 42.82700103200045),DIA,DIA1_2,,36,GENDER,GENM,,,,
